Country,Removal_Requests,Year,Country
austria,39,2017,Austria
belgium,59,2017,Belgium
bulgaria,5,2017,Bulgaria
croatia,16,2017,Croatia
czech_republic,3,2017,CzechRepublic
denmark,14,2017,Denmark
estonia,5,2017,Estonia
finland,10,2017,Finland
france,724,2017,France
germany,385,2017,Germany
greece,8,2017,Greece
hungary,5,2017,Hungary
ireland,28,2017,Ireland
italy,114,2017,Italy
latvia,2,2017,Latvia
lithuania,1,2017,Lithuania
luxembourg,1,2017,Luxembourg
malta,1,2017,Malta
netherlands,143,2017,Netherlands
norway,51,2017,Norway
poland,9,2017,Poland
portugal,4,2017,Portugal
romania,4,2017,Romania
russia,64,2017,Russia
slovakia,2,2017,Slovakia
slovenia,2,2017,Slovenia
spain,129,2017,Spain
sweden,114,2017,Sweden
switzerland,26,2017,Switzerland
united_kingdom,486,2017,UnitedKingdom
austria,81,2017,Austria
belgium,66,2017,Belgium
bulgaria,4,2017,Bulgaria
croatia,6,2017,Croatia
cyprus,1,2017,Cyprus
czech_republic,7,2017,CzechRepublic
denmark,13,2017,Denmark
estonia,16,2017,Estonia
finland,20,2017,Finland
france,913,2017,France
germany,589,2017,Germany
greece,5,2017,Greece
hungary,12,2017,Hungary
iceland,2,2017,Iceland
ireland,31,2017,Ireland
italy,176,2017,Italy
latvia,2,2017,Latvia
liechtenstein,1,2017,Liechtenstein
lithuania,2,2017,Lithuania
luxembourg,3,2017,Luxembourg
malta,4,2017,Malta
netherlands,186,2017,Netherlands
norway,51,2017,Norway
poland,24,2017,Poland
portugal,13,2017,Portugal
romania,15,2017,Romania
russia,28,2017,Russia
slovakia,2,2017,Slovakia
slovenia,2,2017,Slovenia
spain,185,2017,Spain
sweden,119,2017,Sweden
switzerland,52,2017,Switzerland
united_kingdom,752,2017,UnitedKingdom
Austria,76,2016,Austria
Belgium,80,2016,Belgium
Bulgaria,14,2016,Bulgaria
Croatia,5,2016,Croatia
Cyprus,6,2016,Cyprus
Czech Republic,9,2016,Czech Republic
Denmark,19,2016,Denmark
Estonia,10,2016,Estonia
Finland,17,2016,Finland
France,1127,2016,France
Germany,805,2016,Germany
Greece,4,2016,Greece
Hungary,8,2016,Hungary
Iceland,3,2016,Iceland
Ireland,64,2016,Ireland
Italy,138,2016,Italy
Latvia,14,2016,Latvia
Liechtenstein,1,2016,Liechtenstein
Lithuania,8,2016,Lithuania
Luxembourg,40,2016,Luxembourg
Malta,4,2016,Malta
Netherlands,141,2016,Netherlands
Norway,54,2016,Norway
Poland,29,2016,Poland
Portugal,10,2016,Portugal
Romania,30,2016,Romania
Russia,67,2016,Russia
Slovenia,9,2016,Slovenia
Spain,165,2016,Spain
Sweden,152,2016,Sweden
Switzerland,73,2016,Switzerland
United Kingdom,1292,2016,United Kingdom
Austria,85,2016,Austria
Belgium,103,2016,Belgium
Bulgaria,7,2016,Bulgaria
Croatia,15,2016,Croatia
Cyprus,5,2016,Cyprus
Czech Republic,9,2016,Czech Republic
Denmark,31,2016,Denmark
Estonia,7,2016,Estonia
Finland,18,2016,Finland
France,844,2016,France
Germany,744,2016,Germany
Greece,6,2016,Greece
Hungary,21,2016,Hungary
Iceland,1,2016,Iceland
Ireland,62,2016,Ireland
Italy,148,2016,Italy
Latvia,7,2016,Latvia
Liechtenstein,2,2016,Liechtenstein
Lithuania,4,2016,Lithuania
Luxembourg,7,2016,Luxembourg
Malta,3,2016,Malta
Netherlands,206,2016,Netherlands
Norway,46,2016,Norway
Poland,40,2016,Poland
Portugal,14,2016,Portugal
Romania,16,2016,Romania
Russia,114,2016,Russia
Slovakia,2,2016,Slovakia
Slovenia,3,2016,Slovenia
Spain,204,2016,Spain
Sweden,54,2016,Sweden
Switzerland,43,2016,Switzerland
United Kingdom,635,2016,United Kingdom
Austria,43,2015,Austria
Belgium,87,2015,Belgium
Bulgaria,4,2015,Bulgaria
Croatia,6,2015,Croatia
Cyprus,3,2015,Cyprus
Czech Republic,10,2015,Czech Republic
Denmark,17,2015,Denmark
Estonia,25,2015,Estonia
Finland,18,2015,Finland
France,1068,2015,France
Germany,668,2015,Germany
Greece,4,2015,Greece
Hungary,3,2015,Hungary
Iceland,5,2015,Iceland
Ireland,40,2015,Ireland
Italy,102,2015,Italy
Latvia,4,2015,Latvia
Lithuania,5,2015,Lithuania
Luxembourg,3,2015,Luxembourg
Malta,6,2015,Malta
Netherlands,183,2015,Netherlands
Norway,41,2015,Norway
Poland,55,2015,Poland
Portugal,20,2015,Portugal
Romania,31,2015,Romania
Slovakia,1,2015,Slovakia
Slovenia,3,2015,Slovenia
Spain,242,2015,Spain
Sweden,55,2015,Sweden
Switzerland,74,2015,Switzerland
United Kingdom,595,2015,United Kingdom
Austria,51,2015,Austria
Belgium,97,2015,Belgium
Bulgaria,9,2015,Bulgaria
Croatia,18,2015,Croatia
Cyprus,4,2015,Cyprus
Czech Republic,5,2015,Czech Republic
Denmark,14,2015,Denmark
Estonia,18,2015,Estonia
Finland,20,2015,Finland
France,750,2015,France
Germany,759,2015,Germany
Greece,20,2015,Greece
Hungary,11,2015,Hungary
Iceland,1,2015,Iceland
Ireland,49,2015,Ireland
Italy,467,2015,Italy
Latvia,5,2015,Latvia
Lithuania,17,2015,Lithuania
Luxembourg,4,2015,Luxembourg
Malta,4,2015,Malta
Netherlands,252,2015,Netherlands
Norway,20,2015,Norway
Poland,57,2015,Poland
Portugal,18,2015,Portugal
Romania,18,2015,Romania
Slovakia,4,2015,Slovakia
Slovenia,3,2015,Slovenia
Spain,211,2015,Spain
Sweden,31,2015,Sweden
Switzerland,50,2015,Switzerland
United Kingdom,559,2015,United Kingdom